,name,Fate,Founded,HeadQuarters,Type,TotalEmployees,CurStatus,Defunct
0,MetroPCS,,"1994; 22 years ago (1994) (as General Wireless, Inc.)","Richardson, Texas, United States",,,,
0,RaceTrac Petroleum,,1934,"Atlanta, Georgia, U.S.",Private,"5,900+",,
0,Heartland Payment Systems,,1997,"Princeton, NJ",Public company,"3,734 (2014)",,
0,Norfolk Southern,,"Norfolk, Virginia, USA (July 23, 1980 (1980-07-23))","Norfolk, Virginia, United States",Public,"


 30,943


",,
0,EarthLink,,1994,"Atlanta, Georgia",Public,"2,100+ (2015)[3]",,
0,Experis,,1948,"Milwaukee, Wisconsin, United States",Public,"31,000 (2012)",,
0,Mattel,,"January 1945; 71 years ago (1945-01)
El Segundo, California, U.S.","El Segundo, California, U.S.",Public company,"31,000 (2015)[2][3]",,
0,Harley-Davidson,,1903; 113 years ago (1903),"Milwaukee, Wisconsin,
U.S.",Public company,"~5,900 (December 2014)[4]",,
0,CoreLogic,,"California, USA (1991)","Irvine, California, USA",Public,"6,500 (2015)",,
0,Wet Seal,,1962 as Lorne's,"Foothill Ranch, California",Private (2016–present),,,
0,Group Health,,1945,,Cooperative,,,
0,Hitachi Consulting,,"Dallas, Texas (2000)","Dallas, Texas, U.S.",Division,"6,500 (2015)",,
0,Jenny Craig,,"Melbourne, Australia, 1983","Carlsbad, California",Subsidiary,"3,000 (as of 2015)",,
0,General Atomics,,"July 18, 1955; 61 years ago (1955-07-18)","San Diego, California, U.S.",Private,,,
0,Stony Brook University,,,," • Public
 • Research university
 •  Sea-grant
 •  Space-grant",,,
0,Nestlé,,"1866; 150 years ago (1866) (as Anglo-Swiss Condensed Milk Company)
1867 (1867) (as Farine Lactée Henri Nestlé)
1905 (1905) (as Nestlé and Anglo-Swiss Condensed Milk Company)","Vevey, Vaud, Switzerland",Société Anonyme,"335,000 (2015)[1][3]",,
0,Red Hat,,1993; 23 years ago (1993)[1],"Raleigh, North Carolina, U.S.",Public,"8,300 (November 2015)[4]",,
0,Zurich North America,,1872; 144 years ago (1872),"Zürich, Switzerland",Aktiengesellschaft,"55,000 (2015)[3]",,
0,CME Group,,,"Chicago, Illinois, US",Public,2300 (12/31/2008),,
0,Assurant,,1892,"28 Liberty St
New York City, New York, U.S.",Public,"approximately 17,500 (2014)",,
0,Bell Helicopter,,1935,"Fort Worth, Texas, United States",Subsidiary[1],,,
0,Inovalon,,"Maryland, U.S. (1998 (1998))","Bowie, Maryland, U.S.",Public,"2,500",,
0,Synopsys,,"1986 by David Gregory, Aart de Geus","Mountain View, California, U.S.",Public,"9,436 (Fourth quarter Fiscal 2014)[2]",,
0,Lexmark International,,1991,"Lexington, Kentucky, U.S",Public,"12,700 (December 2014)[1]",,
0,Airgas,,1982,"Radnor Township, Pennsylvania",Public,"more than 17,000(Jul 2015)[3]",,
0,Washington Mutual,"
Insolvency

WaMu, Inc.'s banking subsidiaries were closed by the OTS, placed into the receivership of the FDIC, and, in September 2008, their assets were sold to JPMorgan Chase, which now operates the former banking assets as a part of Chase Bank.
The holding company Washington Mutual, Inc. (the former bank owner) subsequently filed for Chapter 11 bankruptcy.

",1889[1],"Seattle, Washington, U.S.",,"49,403",,2009
0,Royal Caribbean Cruises,,1997 (1997),"Miami, Florida, United States",Public," 64,000 (2014)[2]",,
0,Delaware North,,1915,"Buffalo, New York, U.S.",Private,"55,000 (2013)",,
0,The Hershey Company,,"February 9, 1894; 122 years ago (1894-02-09) (as Hershey Chocolate Company)
Lancaster, Pennsylvania, U.S.[1]","Hershey, Pennsylvania, United States",Public,"14,800[2] (2014)",,
0,FedEx Freight,,"1971; 45 years ago (1971)
(as Federal Express Corporation)
Little Rock, Arkansas","Memphis, Tennessee, U.S.",Public,"300,000 (2012)",,
0,Dow Jones,,"15 Wall Street, New York
(1882; 134 years ago (1882))","1211 Avenue of the Americas
New York, NY 10036
U.S.",Subsidiary of News Corp.,,,
0,Gilead Sciences,,1988; 28 years ago (1988),"Foster City, California, U.S.",Public,"7,900 (2015) [3]",,
0,Genworth Financial,,May 2004,"Henrico County, Virginia, United States",Public,"~3,300 (2016)",,
0,Spencer Gifts,,1947,"Egg Harbor Township, NJ, United States",Private,,,
0,Warner Bros.,,"April 4, 1923; 93 years ago (1923-04-04)[3]","Burbank, California, United States",Division of Time Warner[1][2],"est. 8,000 (2014)[5]",,
0,California Pizza Kitchen,,1985; 31 years ago (1985),"Los Angeles, California,
United States",Private,"14,000[1]",,
0,Exelon,,Merger of PECO Energy Company and Unicom Group in 2000,"Chase Tower
Chicago, Illinois, United States",Public,"~34,000 (2016)[3]",,
0,McAfee,,"1987; 29 years ago (1987)[1] (as McAfee Associates, Inc.)","2821 Mission College Blvd.[2] Santa Clara, California, U.S.",Wholly owned subsidiary,"7,500 (2015)",,
0,BearingPoint,,"1997
(as a business unit of KPMG)
January 2000
(KPMG Consulting, LLC)
October 2002
(BearingPoint Inc.)
August 2009
(BearingPoint Europe Holdings B.V.)","Amsterdam, Netherlands",Partnership,"3,500 (2014)",,
0,Sur La Table,,1972,"Seattle, Washington, USA",Private,,,
0,F5 Networks,,"February 26, 1996; 20 years ago (1996-02-26)","Seattle, Washington, United States",Public,4180 (2015),,
0,Navigant Consulting,,1999,"Chicago, Illinois, US
(Global)",Corporation,"2,500",,
0,Auto Club of Southern California,,,"Los Angeles, California",,,,
0,The Goddard School,,"1988 in King of Prussia, PA, USA","King of Prussia, PA, USA",School (Private),,,
0,Angie's List,,1995,"Indianapolis, Indiana",Public,,,
0,Hitachi Data Systems,,1989[2],"Santa Clara, California, U.S.","A wholly owned subsidiary of Hitachi, Ltd (NYSE: HIT)","6,300 employees in more than 100 countries and regions",,
0,Avnet,,"1921, New York City","Phoenix, Arizona, United States",Public,"Approx. 19,000[4]",,
0,Total Wine & More,,1991 (1991),"Bethesda, Maryland",Private,"approx. 5,000",,
0,UC Riverside,,,,"Land-grant
Public research university",,,
0,Aspen Dental,,"Syracuse, New York, New York, U.S. (1964)","DeWitt, New York",,,,
0,DePaul University,,,,Private,,,
0,Royal Bank of Canada,,"Halifax, Nova Scotia
1864; 152 years ago (1864)","Toronto, Ontario, Canada[1][2]
Montreal, Quebec, Canada",Public,"72,839 (FTE, 2015)",,
0,Parsons Corporation,,"California, United States (1944 as Ralph M. Parsons Company)","100 West Walnut Street, [Los Angeles, CA]",Private (Employee-owned),,,
0,Zumiez,,1978; 38 years ago (1978),"Lynnwood, Washington, U.S.",Public,"1,650 - October 2009",,
0,Tilly's,,1982,"Irvine, California, U.S.",Public,,,
0,DynCorp International,,1946,"McLean, VA, United States
[2]",Private,"16,800 (2009)[5]",,
0,Labor Ready,,"Kent, Washington, 1989","Tacoma, Washington, U.S.",Subsidiary of TrueBlue,"2,900 (2004)
600,000 temporary employees to jobs in construction, manufacturing, hospitality services, landscaping, warehousing, retail and more.",,
0,Service Corporation International,,1962,"Houston, Texas, United States",Public,"23,785 (2015) http://investors.sci-corp.com/phoenix.zhtml?c=108068&p=irol-reportsAnnual",,
0,Culver's,,"Sauk City, Wisconsin, U.S. (1984)","Prairie du Sac, Wisconsin",Private,,,
0,American Heart Association,,"February 26, 1924",,,,,
0,Esri,,"1969 (1969) in Redlands, California","Redlands, California, United States",Private,"3,200 (US)+ (2015 statistics) [2]",,
0,WellCare,,"Tampa, Florida (1985)","Tampa, Florida, United States",Public,,,
0,MillerCoors,,,"Chicago, United States",Joint venture,,,
0,Nissan North America,,"December 26, 1933; 82 years ago (1933-12-26)","Nishi-ku, Yokohama, Japan (Officially registered in Kanagawa-ku, Yokohama, Kanagawa Prefecture)",Public (K.K.),"142,925 (consolidated, March, 2014)[8]",,
0,Bare Escentuals,,1872,"Chūō, Tokyo, Japan",Public (K.K.),"33,356 (2013)",,
0,Cbeyond,Acquired by Birch Communications,,"320 Interstate North Parkway
Atlanta, Georgia, US[1]",,"2,000 (2010)[2]",,July 2014
0,University of Cincinnati,,,," • Public
 • Research university
 •  Space-grant
 •  NSA Cyber Operations Centers of Academic Excellence[1]",,,
0,Modis,,1992,"Jacksonville, Florida, USA",Subsidiary,,,
0,Temple University,,,,"Public (formerly private)
State-related
Multi-campus
International",,,
0,Gulfstream Aerospace,,1958,"Savannah, Georgia, U.S.",Subsidiary,"13,313[1]",,
0,Memorial Hermann Health System,,1907,,Nonprofit organization,,,
0,University of Connecticut,,,,"Public Flagship
Land Grant
Sea Grant
Space Grant",,,
0,Colorado State University,,,,"Public flagship
Land-grant",,,
0,Emeritus Senior Living,,"1993 (Renton, Washington)","Seattle, Washington",Public,,,
0,Florida Hospital,,1908,,,,,
0,Cushman & Wakefield,,1917,"Chicago, Illinois, U.S.",Private,"43,000+",,
0,Brown Brothers Harriman,,"New York, New York, US (January 1, 1931 (1931-01-01))
(merger of Brown Bros. & Co. (1818), Harriman Brothers & Company (1927) and W. A. Harriman & Co. (1922)","140 Broadway
New York, New York",Partnership,"5,000 (2012)[1]",,
0,Extended Stay America,,"January 9, 1995 (1995-01-09) in Fort Lauderdale, Florida","Charlotte, North Carolina, United States",Public,"8,500",,
0,Concentrix,,1983 (1983),"Fremont, CA, United States",Outsourcing,"70,000+",,
0,Cadence Design Systems,,1988,"San Jose, California, United States",Public,"6786 (April 2, 2016)[1]",,
0,Micro Center,,"Columbus, Ohio
1979 (1979)[1]","Hilliard, Ohio, U.S.",Private,"2,500[citation needed]",,
0,VITAS Healthcare,,1978 (1978),"Miami, FL, United States",Subsidiary,"11,669",,
0,Grand Canyon University,,,,"For-profit
Research",,,
0,TransUnion,,"February 8, 1968","Chicago, Illinois, United States",Public,"4,100[1] (2015)",,
0,Live Nation Entertainment,,2010,Los Angeles,Public company,"Full-time: 6,600
Part-time: 13,000",,
0,Lincare Holdings,Acquired,,"Clearwater, Florida, USA",,11000(2011),,2012
0,Yankee Candle,,1969; 47 years ago (1969),"South Deerfield, Massachusetts, United States",Subsidiary,,,
0,Conifer Health Solutions,,1967,"Fountain Place
Dallas, Texas, U.S.",Public company,"130,000 (December 2015)[2]",,
0,Samsung,,"March 1, 1938; 78 years ago (1938-03-01)
Daegu, South Korea","Suwon, South Korea[1]",Public[citation needed],"489,000 (2014)[2]",,
0,NAPA Auto Parts,,1925; 91 years ago (1925),"Atlanta, Georgia, United States","Retailers' cooperative
Subsidiary",,,
0,DeVry Education Group,,1973,"Downers Grove, Illinois, United States",Public,"14,100",,
0,University of Kentucky,,,,"Flagship
Public
Land-grant",,,
0,Swift Transportation,,1966,"Phoenix, Arizona, United States",Public,"17,700-[1]",,
0,Bonefish Grill,,"January 15, 2000 (2000-01-15)
St. Petersburg, Florida, U.S.","2202 North West Shore Boulevard, Suite 500
Tampa, Florida, U.S. 33607",Wholly owned subsidiary,,,
0,Hardee's,,"Rocky Mount, North Carolina (1960; 56 years ago (1960))","St. Louis, Missouri, U.S.",Wholly owned subsidiary,,,
0,Indiana University Health,,,,Non-profit Organization,,,
0,Syracuse University,,,,Private research university,,,
0,SeaWorld Parks & Entertainment,,"March 15, 1960; 56 years ago (1960-03-15)","Orlando, Florida, United States",Public,"22,100[2]",,
0,LiveOps,,January 2000,"Scottsdale, Arizona",Private,150,,
0,Anheuser-Busch,,"1852 (1852) in St. Louis, Missouri, United States","St. Louis, Missouri, United States",Wholly owned subsidiary,,,
0,Circuit City,,"1984; 32 years ago (1984) in Richmond, Virginia","New York, New York, US",Private,,,
0,L Brands,,1963; 53 years ago (1963),"Columbus, Ohio, U.S.","Public (NYSE: LB)
S&P 500 Component","94,600 (2014)[3]",,
0,WebMD Health,,"June 14, 1996; 20 years ago (1996-06-14)[1] (as Healthscape)","New York City, New York, U.S.",Public (NASDAQ: WBMD),"1,400 (2009)",,
0,Peet's,,"1966
Berkeley, California","Emeryville, California",Privately held subsidiary,"5,000",,
0,Gensler,,1965,San Francisco,Private company,">3,500 (as of October 2012)[1]",,
0,Liberty National Life,,1900,"McKinney, Texas; Founded in Birmingham, Alabama",Subsidiary of Torchmark Corporation,,,
0,Best Western,,1946; 70 years ago (1946),"Phoenix, Arizona, U.S.",Marketing cooperative,"1,254 (2012)",,
0,United States House of Representatives,,,,"
Lower house of the United States Congress
",,,
0,Mount Sinai Hospital (New York),,1852,,,,,
0,CEVA Logistics,,"United Kingdom, August 9, 2006","Hoofddorp, the Netherlands",Private company,"42,000 (2014)",,
0,Takeda Pharmaceuticals,,"Doshomachi, Osaka, Japan (June 12, 1781 (1781-06-12))","1-1, Doshomachi Yonchome, Chuo-ku, Osaka, Japan",Public KK,"30,481 (2012)",,
0,TransPerfect,,"New York, New York, United States (1992 (1992))","New York City, United States",Private,"3,000 (2015)[1]",,
0,Cincinnati Children's Hospital,,1883,,,,,
0,Sungard Availability Services,,1978,"Wayne, Pennsylvania, USA",Privately held,"3,000",,
0,Principal Financial Group,,1879,"801 Grand
Des Moines, IA, U.S.",Public,"14,600 (March 2014)[1]",,
0,SUNY Buffalo,,,,"Public
Flagship
Sea-grant
Space-grant",,,
0,Parallon,,1968,"Nashville, Tennessee, United States",Public,"204,000",,
0,Black & Veatch,,"Kansas City, Missouri (1915)","Overland Park, Kansas",Employee-Owned,"10,285 (2013)",,
0,Shutterfly,,1999,"Redwood City, California",Public,,,
0,Paylocity,,"Illinois, U.S. (1997 (1997))","3850 N. Wilke Road
Arlington Heights, Illinois, U.S.",Public,1600,,
0,Informatica,,,"Redwood City, California, United States",Private,"3,500+",,
0,Akamai,,1998; 18 years ago (1998),"150 Broadway
Cambridge, Massachusetts 02142
USA",Public,"6,200 (December 2015)[4]",,
0,DHL Express,,1969,"Bonn, Germany",Division,"325,000",,
0,Stanley Black & Decker,,1843[1],"New Britain, Connecticut, United States",Public,"45,327 [3]",,
0,Concur,,1993,"Bellevue, Washington, United States",,"4,600+",,
0,Southern Wine & Spirits of America,,1968 (1968),"Miami, Florida, U.S.",,"Approx. 11,600",,
0,Oklahoma State,,,,"Public flagship
Sun-grant
Land-grant",,,
0,Washington State University,,,,"Public, land grant",,,
0,CDI Corporation,,1950,"Philadelphia, Pennsylvania, United States",Public,"900 (December, 2015)[1]",,
0,CBS Radio,,"1928 (1928) (Foundation of CBS)
1997 (relaunched as Infinity Broadcasting)
2005 (relaunched as CBS Radio)","345 Hudson Street
New York, NY 10014, U.S.",Subsidiary,,,
0,Esurance,,,,Subsidiary,,,
0,Penske Truck Leasing,,"December 1, 1969; 46 years ago (1969-12-01)","Reading, Pennsylvania, U.S.",Joint Venture,"26,000",,
0,American Greetings,,"Brooklyn, Ohio, United States (1906 (1906))","Brooklyn, Ohio, United States",Private,"27,500 (2012)[1]",,
0,Academy of Art University,,,,for-profit,,,
0,OHSU,,,,Public,,,
0,Advance America,,1997,"Spartanburg, SC",Subsidiary,"6,000 - December 2013",,
0,Guaranteed Rate,,2000,"Chicago, Illinois, USA",Private,"2,650",,
0,ING,,"1991 through merger[1]
(est. 1743 as Kooger Doodenbos)","Amsterdam, Netherlands",Public,"84,718 (2012)[2]",,
0,University of Texas at Arlington,,,,Public,,,
0,Partners HealthCare,,,"Prudential Tower
Boston, Massachusetts",Non-profit organization,,,
0,MGM Resorts International,,1986; 30 years ago (1986),"Paradise, Nevada, United States",Public,"61,396 (December 2011)[1]",,
0,Bimbo Bakeries,,"Fort Worth, Texas, United States (1998 (1998))","Horsham, Pennsylvania, United States",Subsidiary,"15,000",,
0,Marsh & McLennan Companies,,"Chicago, Illinois, U.S. (1905)[1]","1166 Avenue of the Americas,
New York City, New York, U.S., United States",Public,"57,000 (2014)[2]",,
0,Luxottica Retail,,"Agordo, Italy
1961; 55 years ago (1961)","Milan, Italy",Società per azioni,"79,000 (2015)[1]",,
0,Sony Pictures Entertainment,,"December 21, 1987; 28 years ago (December 21, 1987) as Columbia Pictures Entertainment[2] renamed Sony Pictures Entertainment on August 7, 1991; 24 years ago (August 7, 1991)","10202 West Washington Blvd., Culver City, California, United States",Subsidiary of Sony Corporation[1],,,
0,Brooks Brothers,,"1818; 198 years ago (1818)
Manhattan, New York City, United States","Madison Avenue, Manhattan, New York",Private,,,
0,Medline Industries,,1966,"Mundelein, Illinois",Privately held,"12,000+",,
0,Vans,,"March 16, 1966; 50 years ago (1966-03-16) (as The Van Doren Rubber Company)","Cypress, California, U.S.",Subsidiary,,,
0,Meditech,,1969,"Westwood, Massachusetts",Private company,,,
0,University of Rochester,,,,"Private, nonsectarian",,,
0,Tuesday Morning,,1974,"Dallas, Texas",Public,,,
0,Guardian Life,,1860,"7 Hanover Square
Manhattan, New York City",Mutual,"5,400 employees
3,000 financial reps",,
0,Golden Corral,,"January 3, 1973; 43 years ago (1973-01-03)
Fayetteville, North Carolina, U.S.","Raleigh, North Carolina, U.S.",Private,9000[1],,
0,Hilton Garden Inn,,1996; 20 years ago (1996),,Franchise,,,
0,Air Products,,"Detroit, Michigan (1940; 76 years ago (1940))","7201 Hamilton Blvd., Allentown, Pennsylvania, U.S.A.",Public,"19,700 (Sept 2015)[1]",,
0,Perficient,,1997,"St. Louis, Missouri","Public
NASDAQ: PRFT","~2,800 (2016)",,
0,Jason's Deli,,1976," Beaumont, Texas",Private,,,
0,Clemson University,,,,"Public
Land-grant university
Sea-grant university",,,
0,Colgate-Palmolive,,1806; 210 years ago (1806),"300 Park Avenue
New York City, New York, United States",Public,"37,900 (2015)[2]",,
0,Sandia National Laboratories,,,,,,,
0,Lam Research,,1980,"Fremont, California, USA",Public,"7,300 (2015)",,
0,Spirit Halloween,,1947,"Egg Harbor Township, NJ, United States",Private,,,
0,University of Delaware,,,,"Private
Land grant
Sea Grant
Space Grant",,,
0,Crowe Horwath,,"South Bend, Indiana, U.S. (1942)","Oak Brook, Illinois, U.S.",Limited Liability Partnership,"3,000 (April 2015)",,
0,Hannaford Bros.,,"Portland, Maine (1883)","Scarborough, Maine",Subsidiary,,,
0,Western Union,,"1851; 165 years ago (1851) in Rochester, New York, United States[1]","Meridian, Colorado, United States",Public,"7,000[4] (2010)",,
0,Choice Hotels,,1939; 77 years ago (1939),"Rockville, Maryland, U.S.",Public,"1,300 employed in Headquarters",,
0,Centerplate,,,"Stamford, CT [1], United States",Private,"30,000[2]",,
0,Auburn University,,,,"Public University
Flagship
Polytechnic
Land-grant
Space-grant
Sea-grant",,,
0,Brookstone,,"Peterborough, New Hampshire 1965[1]","Merrimack, New Hampshire",Privately held company,,,
0,AARP,,,"Washington, D.C.",,,,
0,Xilinx,,1984; 32 years ago (1984),"San Jose, California, U.S.",Public,"3,500 - 2016[2]",,
0,COUNTRY Financial,,1925,"Bloomington, Illinois, US","Mutual, stock","2,670",,
0,Sierra Nevada Corporation,,1963,"Sparks, Nevada",Private,~3000,,
0,University of Texas at San Antonio,,,,Public university (branch campus),,,
0,Discount Tire,,"Ann Arbor, Michigan, United States (1960)","Scottsdale, Arizona, United States",Private,"16,046[2]",,
0,HMSHost,,"Kansas City, Missouri 1897 (1897)","Bethesda, Maryland, U.S.",Subsidiary,,,
0,C&S Wholesale Grocers,,"Worcester, Massachusetts (1918)","Keene, New Hampshire, United States",Private,"about 14,000 (as of 2013)[2]",,
0,UST Global,,1998,"Aliso Viejo, California",Private,"15,000 [6]",,
0,iHeartMedia,,"2008 (iHeartMedia, Inc. holding company)
1972 (iHeartCommunications, Inc. subsidiary)","San Antonio, Texas, United States","Private (70%)[1]
Public (30%)[1]","20,800 (Dec 2012)[5]",,
0,Compuware,,1973,"The Compuware Building
Detroit, Michigan, U.S",Private Company,,,
0,Potbelly Sandwich Works,,1977,"River Center 111. N.Canal Street, Chicago, Illinois",Public,,,
0,Echo Global Logistics,,2005,"Chicago, Illinois, USA",Public (NASDAQ: ECHO),,,
0,Volunteers of America,,1896,,Faith-based Charity,,,
0,Zenefits,,"February 18, 2013; 3 years ago (2013-02-18)",,,,,
0,General Dynamics,,"February 7, 1899; 117 years ago (1899-02-07)","West Falls Church, Virginia, United States",Public,"99,500 (2014)[3]",,
0,Delphi,,,,Cultural,,,
0,Broadridge,,"Lake Success, New York (2007)","Lake Success, New York, U.S.",Public,"7,000 (2014)",,
0,Savers,,"1954 (San Francisco, California, U.S.)","Bellevue, Washington, United States",Private,,,
0,Hastings Entertainment,Chapter 11 bankruptcy,"Amarillo, Texas (1968)","Amarillo, Texas, USA",,,,October 2016; 61 days' time (October 2016)
0,American Campus Communities,,1993,"Bee Cave, Texas",Public,,,
0,Boston Market,,"December 1984; 31 years ago (1984-12)
Newton, Massachusetts, U.S.","Golden, Colorado, United States",Private,"14,000 (2007)",,
0,Jiffy Lube,,1979; 37 years ago (1979),"Houston, Texas, U.S.",Wholly owned subsidiary,,,
0,athenahealth,,1997,"Watertown, Massachusetts",Public,"4,668",,
0,Stericycle,,1989,"Lake Forest, Illinois, U.S.",Public,,,
0,Toyota Motor Sales,,1957,"Torrance, California",,"6,500",,
0,Case Western Reserve University,,,,Private University,,,
0,Five Below,,"October 4, 2002; 13 years ago (2002-10-04)","Philadelphia, Pennsylvania, United States",Public,"5,500[3]",,
0,G&K Services,,1902,"Minnetonka, Minnesota, USA",Public,"7,800 (2013)",,
0,PACCAR,,1905[1],"Paccar Tower
777 106th Avenue N.E.
Bellevue, Washington, United States",Public,"22,800 (2012)[5]",,
0,Premera Blue Cross,,1945,"Mountlake Terrace, Washington, United States",Non-profit organization,"3,200",,
0,Staffmark,,1992," Wakefield, Massachusetts, United States",Public (NASDAQ: EDGW),,,
0,DoorDash,,,,Privately held company,,,
0,BNP Paribas,,"1848; 168 years ago (1848) (as BNP)
1872 (as Paribas)
2000 (as BNP Paribas)","Boulevard des Italiens, Paris, France",Société Anonyme,"185,000 (2014)[3]",,
0,Inova,,"1956 in Fairfax County, Virginia",,Not-for-profit corporation,"17,396[1] (2014)",,
0,Adecco,,1996,"Glattbrugg, Switzerland",Société Anonyme,"more than 32,000 (2015)[1]",,
0,Intertek,,1888; 128 years ago (1888),"London, United Kingdom",Public limited company,"38,000 (2016)[2]",,
0,Combined Insurance,,1922,"Glenview, Illinois, United States",Subsidiary,"7,000 Worldwide",,
0,Unum Group,,Tennessee,"Chattanooga, Tennessee",Public,"9,200 (2013)[1]",,
0,Insperity,,,,Public,"2,200",,
0,Weight Watchers,,"May 15, 1963; 53 years ago (1963-05-15)
Queens, New York, U.S.","675 Avenue of the Americas, 6th Floor New York, NY 10010",Public,"25,000 (as of 2013[update])[1]",,
0,Blizzard Entertainment,,"1991; 25 years ago (1991)
as Silicon & Synapse","Irvine, California, United States",Division,"4,700 (As of 2012)[3]",,
0,Coldwater Creek,,1984,"Hingham, Massachusetts",Private,100,,
0,DreamWorks Animation,,"As DreamWorks SKG: Universal City, California, United States
October 12, 1994; 21 years ago (1994-10-12)[1]
As DreamWorks Animation:
Glendale, California, United States
October 27, 2004; 11 years ago (2004-10-27)","1000 Flower Street, Glendale, California, United States","Public
(Acquisition by NBCUniversal pending)"," 2,700 (2014)[6]
 2,200 (2013)[7]",,
0,University of Oklahoma,,,,"Flagship
Public
Space-grant",,,
0,HBO,,"November 8, 1972 (1972-11-08)","New York City, New York, United States",Division of Time Warner,,,
0,Logan's Roadhouse,,"1991 (1991)
Lexington, Kentucky, U.S.","Nashville, Tennessee, United States",Private,,,
0,Moody's,,1909; 107 years ago (1909),"7 World Trade Center
New York City, United States",Subsidiary,,,
0,The University of Kansas,,,,Flagship state university,,,
0,University of South Carolina,,,,"Public university
Flagship state university
Sea-grant university",,,
0,Amec Foster Wheeler,,"2014 Amec Foster Wheeler
1982 AMEC plc
1927 Foster Wheeler AG
1848 Matthew Hall","London, United Kingdom",Public limited company,"40,000 (2016)[2]",,
0,Novartis,,"1996; 20 years ago (1996)
(from merger)","Basel, Switzerland",Public company AG,"118,700 (2015)[1]",,
0,FTI Consulting,,1982,"Washington, D.C. (global)",Corporation,"4,600[1]",,
0,Healthways,,1981[1],"Franklin, Tennessee, United States",Public,"2,500+ (2015)",,
0,Aquent,,1986,Boston,Private,,,
0,Career Education,,,"Schaumburg, Illinois, United States",Public,"7,400[citation needed]",,
0,Underwriters Laboratories,,1894; 122 years ago (1894),,"Private, LLC","12,000 (2013)",,
0,Coventry Health Care,,,"Bethesda, Maryland",Subsidiary of Aetna,"14,400 (Jan 2013)[1]",,
0,MedImmune,,"1988; 28 years ago (1988) (as Molecular Vaccines, Inc.)
1989; 27 years ago (1989) (as MedImmune, Inc.)","Gaithersburg, Maryland, USA",Subsidiary,,,
0,Duane Reade,,1960 (1960),"40 Wall Street, New York City, New York, United States",Subsidiary,,,
0,King Soopers,,"City Market: 1924 (Grand Junction, Colorado)
King Soopers: 1947 (Arvada, Colorado)",,Subsidiary,,,
0,Hard Rock International,,"London, United Kingdom
(June 14, 1971)","Orlando, FL, United States",Private,,,
0,John Hancock,,,,,,,
0,Safelite,,"1947 (69 years ago) (1947) in Wichita, Kansas, United States","Columbus Ohio, United States",Privately held company,"9,533",,
0,Drexel University,,,,"Private Nonprofit
Research Coeducational",,,
0,Comfort Keepers,,"1998, United States","Dayton, Ohio",International Franchise,,,
0,Avery Dennison,,"Los Angeles, California, United States (1935)","207 Goode Avenue
Glendale, California, United States","Public
S&P 500 Component","26,000 (Dec 2013)",,
0,Muscular Dystrophy Association,,,,non-profit,,,
0,LSU,,,,"


Flagship state university[1]
Land-grant, Sea-grant, and Space-grant university


",,,
0,Aurora Health Care,,1984,"Milwaukee, Wisconsin, United States",Not-for-profit corporation,"30,000[2]",,
0,Irvine Company,, 1864 (1864-MM),"Newport Beach, California, United States of America",Private,,,
0,Experian,,1996; 20 years ago (1996),"
Dublin, Republic of Ireland (incorporated)
Cardinal Place
London, United Kingdom (corporate office)[1][2]
Costa Mesa, California, United States",Public company,"17,000 (2015)[4]",,
0,Franklin Templeton Investments,,"New York City, U.S. (1947)","San Mateo, California",Public company,"9,000 (2014)",,
0,Jabil,,"1966 (1966), Detroit, Michigan, United States","St. Petersburg, Florida[2], United States",Public,"177,000+[6]",,
0,Caleres,,1875,"Clayton, Missouri",Public,"13,400[2]",,
0,Jack Henry & Associates,,"Monett, Missouri (1976)","Monett, Missouri, United States",Public,,,
0,Anheuser-Busch InBev,,"2008; 8 years ago (2008),
through merger of InBev with Anheuser-Busch","Leuven, Belgium
São Paulo, Brazil",Public,"150,000 (2015)[2]",,
0,DRS Technologies,,1968,"Arlington, Virginia, USA",Subsidiary of Leonardo-Finmeccanica,,,
0,Texas Health Resources,,1997,"Arlington, TX, USA",non-profit,"21,100 at fully owned/operated facilities, plus 1,400 at consolidated joint ventures",,
0,LongHorn Steakhouse,,"Atlanta, Georgia
(1981 (1981))","1000 Darden Center Drive
Orlando, Florida, U.S. 32837",Wholly owned subsidiary,,,
0,Magellan Health,,1969[1],"Scottsdale, Arizona, USA",Public,,,
0,Universal Orlando Resort,,"June 7, 1990; 26 years ago (1990-06-07)","Orlando, Florida, U.S.",Division,,,
0,ZS Associates,,1983,"Evanston, Illinois[1]",Private,"4,000[3]",,
0,ABM Industries,,1909,"Fred F. French Building,
New York, NY, U.S.",Public,"118,000 (2014)",,
0,Sylvan Learning Centers,,"1979; 37 years ago (1979) (as Sylvan Learning Corporation)
Portland, Oregon, U.S.","Baltimore, Maryland, U.S.",Private,,,
0,bebe stores,,1976,"400 Valley Drive,
Brisbane, California,
United States",Public,"4,433 (2008)",,
0,Neustar,,1996,"Sterling, Virginia, United States",Public,"1,488 (2012)",,
0,Kaplan University,,,,For-Profit Online University subsidiary,,,
0,Beaumont Health,,1955,,,,,
0,Riot Games,,2006,"Los Angeles, California, United States",Subsidiary,"1,000 (2013 estimate)[4]",,
0,Lawrence Berkeley Lab,,,,,,,
0,ExpressJet Airlines,,1979 as ASA,"College Park, Georgia, USA",,"9,000",,
0,National General Insurance,,1939,"Winston-Salem, North Carolina, United States",Subsidiary,,,
